101.43.255.96:80 | HTTPS
193.106.150.70:1080 | HTTP
36.88.148.138:8080 | HTTPS
209.38.222.145:8080 | HTTP
185.191.236.162:3128 | HTTP
8.219.97.248:80 | HTTPS
209.97.176.93:8888 | HTTP
45.236.129.64:3128 | HTTP
220.197.44.36:3128 | HTTP
200.174.198.32:8888 | HTTP
177.93.36.74:3128 | HTTP
147.75.34.105:443 | HTTP
78.134.20.48:8080 | HTTP
45.151.182.9:3128 | HTTP
44.250.1.185:3128 | HTTP
165.227.5.10:8888 | HTTP
52.188.28.218:3128 | HTTP
35.225.22.61:80 | HTTPS
190.242.157.215:8080 | HTTP
5.9.218.168:3128 | HTTP
34.170.15.20:3128 | HTTP
85.133.227.150:80 | HTTP
188.130.160.209:80 | HTTP
