128.140.118.165:1080 | SOCKS | 1595ms | de
211.171.114.154:3128 | PROXY | 4073ms | kr
211.230.49.122:3128 | PROXY | 3481ms | kr
157.15.112.41:8080 | PROXY | 5267ms | id
165.227.5.10:8888 | PROXY | 5034ms | us
89.208.85.78:443 | HTTPS | 981ms | ru
150.107.140.238:3128 | PROXY | 6169ms | id
27.72.244.228:8080 | PROXY | 13042ms | vn
103.210.35.182:8080 | PROXY | 13199ms | id
103.19.58.151:8080 | PROXY | 16858ms | id
8.212.178.171:8080 | PROXY | 15798ms | ph
216.229.112.25:8080 | PROXY | 3573ms | us
186.216.208.98:3128 | PROXY | 10576ms | br
149.86.206.27:8080 | PROXY | 8408ms | it
34.14.143.185:3128 | PROXY | 3232ms | in
103.3.246.71:3128 | PROXY | 5994ms | vn
52.188.28.218:3128 | PROXY | 2185ms | us
136.49.42.129:8888 | PROXY | 5687ms | us
85.133.227.150:80 | HTTP | 1584ms | ir
5.9.218.168:3128 | PROXY | 1331ms | de
5.101.0.233:3128 | PROXY | 1115ms | ru
101.43.255.96:80 | HTTP | 3767ms | cn
168.205.102.26:8080 | PROXY | 4389ms | br
193.106.150.70:1080 | SOCKS | 8132ms | nl
